name,where_to_watch,main_role,url
Goblin,"Viki Subscription (sub), Netflix Subscription (sub), Apple TV Subscription (sub), iflix Free, Prime Video Purchase (sub)","Gong Yoo, Kim Go Eun, Lee Dong Wook, Yoo In Na, Yook Sung Jae",https://www.google.com/search?q=goblin
Strong Woman Do Bong Soon,"Disney+ Hotstar Subscription (sub), WeTV Free (sub), Netflix Subscription (sub), Apple TV Free, iflix Free, Prime Video Subscription (sub), Viki Subscription (sub)","Park Bo Young, Park Hyung Sik, Kim Ji Soo",https://www.google.com/search?q=strong+woman+do+bong+soon
Descendants Of The Sun,"WeTV Free (sub), Netflix Subscription (sub), iflix Free, Apple TV Free (sub), Hulu Subscription (sub), Viki Free (sub)","Song Joong Ki, Song Hye Kyo, Jin Goo, Kim Ji Won",https://www.google.com/search?q=descendants+of+the+sun
Weightlifting Fairy Kim Bok Joo,"WeTV Free (sub), Netflix Subscription (sub), Apple TV Free (sub), iWant TFC Subscription, Prime Video Purchase (sub), Viki Subscription (sub)","Lee Sung Kyung, Nam Joo Hyuk, Lee Jae Yoon, Kyung Soo Jin",https://www.google.com/search?q=weightlifting+fairy+kim+bok+joo
W,"WeTV Free (sub), Netflix Subscription (sub), Apple TV Free, iflix Free (sub), Viki Free (sub)","Han Hyo Joo, Lee Jong Suk",https://www.google.com/search?q=w
What'S Wrong With Secretary Kim,"WeTV Free (sub), Netflix Subscription (sub), Apple TV Free, iflix Free, Hulu Subscription (sub), Viki Subscription (sub)","Park Min Young, Park Seo Joon",https://www.google.com/search?q=what's+wrong+with+secretary+kim
It'S Okay To Not Be Okay,Netflix Subscription (sub),"Kim Soo Hyun, Seo Yea Ji, Oh Jung Se",https://www.google.com/search?q=it's+okay+to+not+be+okay
Boys Over Flowers,"Apple TV Free (sub), Tubi Free (sub), AsianCrush Free (sub), iflix Free, Hulu Subscription (sub), Viki Free (sub), WeTV Free (sub), Netflix Subscription (sub)","Gu Hye Seon, Lee Min Ho, Kim Hyun Joong, Kim Bum, Kim Joon",https://www.google.com/search?q=boys+over+flowers
Crash Landing On You,Netflix Subscription (sub),"Hyun Bin, Son Ye Jin, Seo Ji Hye, Kim Jung Hyun",https://www.google.com/search?q=crash+landing+on+you
The Heirs,"WeTV Free (sub), Netflix Subscription (sub), Apple TV Free (sub), Prime Video Subscription (sub), Viki Free (sub)","Lee Min Ho, Park Shin Hye, Kim Woo Bin",https://www.google.com/search?q=the+heirs
My Love From The Star,"Apple TV Free (sub), Viki Subscription (sub), Netflix Subscription (sub)","Kim Soo Hyun, Jun Ji Hyun, Park Hae Jin, Yoo In Na",https://www.google.com/search?q=my+love+from+the+star
While You Were Sleeping,"WeTV Free (sub), Netflix Subscription (sub), Apple TV Free (sub), iflix Free (sub), Hulu Subscription (sub), Viki Free (sub)","Bae Suzy, Lee Jong Suk, Jung Hae In, Lee Sang Yeob",https://www.google.com/search?q=while+you+were+sleeping
Hotel Del Luna,"WeTV Free (sub), Netflix Subscription (sub), K-DRAMA Free (sub), Apple TV Free (sub), Prime Video Subscription (sub), Viki Free (sub)","IU, Yeo Jin Goo",https://www.google.com/search?q=hotel+del+luna
Pinocchio,"WeTV Free (sub), Netflix Subscription (sub), Apple TV Free, Viki Subscription (sub)","Lee Jong Suk, Park Shin Hye, Kim Young Kwang, Lee Yoo Bi, Jin Kyung",https://www.google.com/search?q=pinocchio
Healer,"Viki Subscription (sub), Netflix Subscription (sub), Apple TV Subscription (sub), Prime Video Subscription","Ji Chang Wook, Park Min Young, Yoo Ji Tae",https://www.google.com/search?q=healer
Moon Lovers: Scarlet Heart Ryeo,"SBS VOD Free, Prime Video Subscription (sub), Netflix Subscription (sub)","Lee Joon Gi, IU, Kang Ha Neul",https://www.google.com/search?q=moon+lovers:+scarlet+heart+ryeo
The Legend Of The Blue Sea,"WeTV Free (sub), Netflix Subscription (sub), SBS VOD Free, Apple TV Free (sub), Hulu Subscription (sub), Viki Free (sub)","Lee Min Ho, Jun Ji Hyun",https://www.google.com/search?q=the+legend+of+the+blue+sea
I'M Not A Robot,"WeTV Free (sub), Netflix Subscription (sub), Apple TV Free, Viki Free (sub)","Yoo Seung Ho, Chae Soo Bin, Uhm Ki Joon",https://www.google.com/search?q=i'm+not+a+robot
Fight For My Way,"WeTV Free (sub), Netflix Subscription (sub), Apple TV Free, iflix Free, Viki Subscription (sub)","Park Seo Joon, Kim Ji Won, Ahn Jae Hong, Song  Ha Yoon",https://www.google.com/search?q=fight+for+my+way
Itaewon Class,Netflix Subscription (sub),"Park Seo Joon, Kim Da Mi, Kwon Na Ra, Yoo Jae Myung",https://www.google.com/search?q=itaewon+class
Eulachacha Waikiki,"iflix Free, Viki Free (sub), WeTV Free (sub), Netflix Subscription (sub)","Kim Jung Hyun, Lee Yi Kyung, Son Seung Won, Jung In Sun, Go Won Hee, Lee Joo Woo",https://www.google.com/search?q=eulachacha+waikiki
School 2017,"Apple TV Subscription (sub), Viki Free (sub), Netflix Subscription (sub)","Kim Se Jeong, Kim Jung Hyun, Jang Dong Yoon, Han Sun Hwa, Han Joo Wan",https://www.google.com/search?q=school+2017
"Nevertheless,",Netflix Subscription (sub),"Han So Hee, Song Kang, Chae Jong Hyeop, Lee Yeol Eum, Yang Hye Ji","https://www.google.com/search?q=nevertheless,"
Hello Monster,"Apple TV Subscription (sub), Viki Free (sub)","Seo In Guk, Jang Na Ra, Park Bo Gum, Choi Won Young",https://www.google.com/search?q=hello+monster
Rooftop Prince,"WeTV Free (sub), Netflix Subscription (sub), Apple TV Free, SBS World Free (sub), Viki Free (sub)","Park Yoo Chun, Han Ji Min, Jung Yoo Mi, Lee Tae Sung, Lee Tae Ri, Choi  Woo Shik, Jung Suk Won",https://www.google.com/search?q=rooftop+prince
Flower Boy Next Door,"K-DRAMA Free (sub), AsianCrush Free (sub), Prime Video Ppv (sub), Viki Subscription, WeTV Free (sub)","Park Shin Hye, Yoon Shi Yoon, Kim Ji Hoon",https://www.google.com/search?q=flower+boy+next+door
Kingdom,Netflix Subscription (sub),"Joo Ji Hoon, Ryu Seung Ryong, Bae Doo Na, Kim Sung Gyu",https://www.google.com/search?q=kingdom
Chicago Typewriter,"Viki Free (sub), WeTV Free (sub), K-DRAMA Free (sub), Apple TV Free (sub)","Yoo Ah In, Im Soo Jung, Go Kyung Pyo, Kwak Shi Yang",https://www.google.com/search?q=chicago+typewriter
Move To Heaven,Netflix Subscription (sub),"Lee Je Hoon, Tang Jun Sang, Hong Seung Hee",https://www.google.com/search?q=move+to+heaven
Save Me,K-DRAMA Free (sub),"Seo Yea Ji, Ok Taec Yeon, Woo Do Hwan, Jo Sung Ha",https://www.google.com/search?q=save+me
Shopping King Louie,"Viki Free (sub), Netflix Subscription (sub)","Seo In Guk, Nam Ji Hyun, Yoon Sang Hyun, Im Se Mi",https://www.google.com/search?q=shopping+king+louie
Moon Embracing The Sun,"Apple TV Free, iflix Free, Viki Subscription (sub), WeTV Free (sub), Netflix Subscription (sub)","Han Ga In, Kim Soo Hyun, Jung Il Woo, Kim Min Seo",https://www.google.com/search?q=moon+embracing+the+sun
My Name,Netflix Subscription (sub),"Han So Hee, Park Hee Soon, Ahn Bo Hyun, Lee Hak Joo, Kim  Sang Ho, Chang Ryul",https://www.google.com/search?q=my+name
Search: Www,"WeTV Free (sub), Netflix Subscription (sub), K-DRAMA Free (sub), Apple TV Free, iflix Free, Hulu Subscription (sub), Viki Free (sub)","Im Soo Jung, Lee Da Hee, Jeon Hye Jin, Jang Ki Yong, Lee Jae Wook, Ji Seung Hyun",https://www.google.com/search?q=search:+www
Our Beloved Summer,"Wavve Free (sub), Netflix Subscription (sub)","Choi  Woo Shik, Kim Da Mi, Kim Sung Cheol, Roh Jeong Eui",https://www.google.com/search?q=our+beloved+summer
Sassy Go Go,"Viki Free (sub), Netflix Subscription (sub)","Jung Eun Ji, Lee Won Keun, Chae Soo Bin, Kim Ji Soo, Cha Hak Yeon",https://www.google.com/search?q=sassy+go+go
Dr. Romantic,"SBS VOD Free, Viki Subscription (sub), WeTV Free (sub), Netflix Subscription (sub)","Han Seok Kyu, Yoo Yeon Seok, Seo Hyun Jin",https://www.google.com/search?q=dr.+romantic
Goong,"Viki Subscription, WeTV Free (sub)","Yoon Eun Hye, Joo Ji Hoon, Song Ji Hyo, Kim Jeong Hoon",https://www.google.com/search?q=goong
Lawless Lawyer,"WeTV Free (sub), Netflix Subscription (sub), K-DRAMA Free (sub), Apple TV Free, Viki Free (sub)","Lee Joon Gi, Seo Yea Ji, Lee Hye Young, Choi Min Soo",https://www.google.com/search?q=lawless+lawyer
The Innocent Man,"Viki Subscription (sub), WeTV Free (sub), Netflix Subscription (sub)","Moon Chae Won, Song Joong Ki, Park Shi Yeon",https://www.google.com/search?q=the+innocent+man
Splash Splash Love,Viki Subscription (sub),"Yoon Doo Joon, Kim Seul Gi",https://www.google.com/search?q=splash+splash+love
Blood,"Viki Subscription (sub), Netflix Subscription (sub), KBS World Free","Ahn Jae Hyun, Gu Hye Seon, Ji Jin Hee",https://www.google.com/search?q=blood
All Of Us Are Dead,Netflix Subscription (sub),"Park Ji Hoo, Yoon Chan Young, Jo Yi Hyun, Lomon",https://www.google.com/search?q=all+of+us+are+dead
The Secret Life Of My Secretary,"WeTV Free (sub), Netflix Subscription (sub), SBS World Free, Viki Subscription (sub)","Kim Young Kwang, Jin Ki Joo, Kim Jae Kyung, Koo Ja Sung",https://www.google.com/search?q=the+secret+life+of+my+secretary
Clean With Passion For Now,"WeTV Free (sub), Netflix Subscription (sub), Apple TV Free (sub), iflix Free, Viki Free (sub)","Yoon Kyun Sang, Kim Yoo Jung, Song Jae Rim",https://www.google.com/search?q=clean+with+passion+for+now
Faith,"Apple TV Subscription, Viki Free (sub)","Kim Hee Sun, Lee Min Ho, Ryu Deok Hwan, Park Se Young, Yoo Oh Sung",https://www.google.com/search?q=faith
Record Of Youth,Netflix Subscription (sub),"Park Bo Gum, Park So Dam, Byeon Woo Seok, Kwon Soo Hyun",https://www.google.com/search?q=record+of+youth
My Holo Love,Netflix Subscription (sub),"Yoon Hyun Min, Go Sung Hee",https://www.google.com/search?q=my+holo+love
Exo Next Door,LINE TV Free (sub),"Park Chan Yeol, Moon Ga Young, Doh Kyung Soo, Oh Se Hun, Byun Baek Hyun",https://www.google.com/search?q=exo+next+door
Come And Hug Me,"Viki Subscription (sub), Netflix Subscription (sub)","Jang Ki Yong, Jin Ki Joo, Heo Joon Ho",https://www.google.com/search?q=come+and+hug+me
Sungkyunkwan Scandal,"Viki Free (sub), WeTV Free (sub)","Park Yoo Chun, Park Min Young, Song Joong Ki, Yoo Ah In",https://www.google.com/search?q=sungkyunkwan+scandal
Where Your Eyes Linger,"Viki Free (sub), WeTV Subscription (sub)","Han Gi Chan, Jang Eui Soo",https://www.google.com/search?q=where+your+eyes+linger
Mystic Pop-Up Bar,Netflix Subscription (sub),"Hwang Jung Eum, Yook Sung Jae, Choi Won Young",https://www.google.com/search?q=mystic+pop-up+bar
The Girl Who Sees Scents,"Viki Subscription (sub), Netflix Subscription (sub), SBS World Free (sub)","Park Yoo Chun, Shin Se Kyung, Namkoong Min, Yoon Jin Seo",https://www.google.com/search?q=the+girl+who+sees+scents
Dr. Romantic 2,"WeTV Free (sub), Netflix Subscription (sub), Apple TV Free (sub), Viki Free (sub)","Han Seok Kyu, Ahn Hyo Seop, Lee Sung Kyung, Kim Joo Heon",https://www.google.com/search?q=dr.+romantic+2
My Strange Hero,"SBS World Free (sub), Viki Subscription (sub), Apple TV Free","Yoo Seung Ho, Jo Bo Ah, Kwak Dong Yeon",https://www.google.com/search?q=my+strange+hero
Hi! School - Love On,"Viki Free (sub), Netflix Subscription, KBS World Free","Kim Sae Ron, Nam Woo Hyun, Lee Sung Yeol",https://www.google.com/search?q=hi!+school+-+love+on
Hit The Top,"Apple TV Free, Viki Free (sub), Netflix Subscription (sub)","Yoon Shi Yoon, Lee Se Young, Kim Min Jae, Cha Tae Hyun",https://www.google.com/search?q=hit+the+top
Mouse,"Apple TV Subscription (sub), TVING Subscription, Viki Free (sub), WeTV Free (sub)","Lee Seung Gi, Lee Hee Joon, Park Ju Hyun, Kyung Soo Jin",https://www.google.com/search?q=mouse
Jealousy Incarnate,"Viki Free (sub), Netflix Subscription (sub), SBS VOD Free, SBS World Free (sub)","Jo Jung Suk, Gong Hyo Jin, Go Kyung Pyo",https://www.google.com/search?q=jealousy+incarnate
Radio Romance,"Viki Subscription (sub), Netflix Subscription","Kim So Hyun, Yoon Doo Joon, Yoon Park, Yura",https://www.google.com/search?q=radio+romance
Rookie Historian Goo Hae Ryung,Netflix Subscription (sub),"Shin Se Kyung, Cha Eun Woo, Lee Ji Hoon, Park Ki Woong",https://www.google.com/search?q=rookie+historian+goo+hae+ryung
Beyond Evil,"Disney+ Hotstar Subscription (sub), WeTV Free (sub), Netflix Subscription (sub), Viki Free (sub)","Shin Ha Kyun, Yeo Jin Goo, Choi Dae Hoon, Kim Shin Rok, Choi Sung Eun",https://www.google.com/search?q=beyond+evil
Moorim School,"Viki Subscription (sub), Netflix Subscription (sub)","Lee Hyun Woo, Hong Bin, Seo Yea Ji, Jung Eugene",https://www.google.com/search?q=moorim+school
So I Married An Anti-Fan,Viki Free (sub),"Choi  Tae Joon, Choi Soo Young",https://www.google.com/search?q=so+i+married+an+anti-fan
Hospital Playlist 2,"TVING Subscription, Netflix Subscription (sub)","Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do",https://www.google.com/search?q=hospital+playlist+2
The Liar And His Lover,"Viki Free (sub), WeTV Free (sub), K-DRAMA Free (sub)","Lee Hyun Woo, Joy, Lee Jung Jin, Lee Seo Won, Hong Seo Young",https://www.google.com/search?q=the+liar+and+his+lover
One Spring Night,Netflix Subscription (sub),"Jung Hae In, Han Ji Min, Kim Joon Han",https://www.google.com/search?q=one+spring+night
Color Rush,"Apple TV Subscription (sub), Viki Free (sub)","Yoo Jun, Hur Hyun Jun",https://www.google.com/search?q=color+rush
A Business Proposal,"Wavve Free (sub), Netflix Subscription (sub)","Ahn Hyo Seop, Kim Se Jeong, Kim Min Gue, Seol In Ah",https://www.google.com/search?q=a+business+proposal
Tale Of The Nine-Tailed,"WeTV Free (sub), Netflix Subscription (sub), Prime Video Subscription (sub), Viki Free (sub)","Lee Dong Wook, Jo Bo Ah, Kim Bum",https://www.google.com/search?q=tale+of+the+nine-tailed
He Is Psychometric,"Viki Free (sub), WeTV Free (sub), K-DRAMA Free (sub), Apple TV Free","Park Jin Young, Shin Ye Eun, Kim Kwon, Kim Da Som",https://www.google.com/search?q=he+is+psychometric
Just Between Lovers,"Disney+ Hotstar Subscription (sub), WeTV Free (sub), Netflix Subscription (sub), Viki Free (sub)","Lee Jun Ho, Won Jin Ah, Lee Ki Woo, Kang Han Na",https://www.google.com/search?q=just+between+lovers
Love In The Moonlight,"Apple TV Free, Viki Free (sub), WeTV Free (sub), Netflix Subscription (sub)","Park Bo Gum, Kim Yoo Jung, Jung Jin Young, Kwak Dong Yeon, Chae Soo Bin",https://www.google.com/search?q=love+in+the+moonlight
"Bring It On, Ghost","WeTV Free (sub), Netflix Subscription (sub), Viki Free (sub), K-DRAMA Free (sub)","Ok Taec Yeon, Kim So Hyun, Kwon Yool","https://www.google.com/search?q=bring+it+on,+ghost"
Uncontrollably Fond,"Viki Free (sub), WeTV Free (sub), Netflix Subscription (sub)","Kim Woo Bin, Bae Suzy, Im Joo Hwan, Im Ju Eun",https://www.google.com/search?q=uncontrollably+fond
Signal,"Viki Free (sub), WeTV Free (sub), Netflix Subscription (sub)","Lee Je Hoon, Kim Hye Soo, Jo Jin Woong",https://www.google.com/search?q=signal
Hometown Cha-Cha-Cha,"TVING Subscription, Netflix Subscription","Shin Min Ah, Kim Seon Ho, Lee Sang Yi",https://www.google.com/search?q=hometown+cha-cha-cha
Abyss,Netflix Subscription (sub),"Park Bo Young, Ahn Hyo Seop",https://www.google.com/search?q=abyss
Personal Taste,"Apple TV Free (sub), Viki Free (sub)","Lee Min Ho, Son Ye Jin, Kim Ji Suk, Wang Ji Hye",https://www.google.com/search?q=personal+taste
Sweet Home,Netflix Subscription (sub),"Song Kang, Lee Jin Wook, Lee Si Young, Lee Do Hyun, Kim Nam Hee, Go Min Si, Park Gyu Young, Go Yoon Jung, Kim Gab Soo, Kim  Sang Ho",https://www.google.com/search?q=sweet+home
Doctor Stranger,"WeTV Free (sub), Netflix Subscription (sub), Apple TV Free (sub), SBS World Free (sub), Viki Subscription (sub)","Lee Jong Suk, Jin Se Yeon, Kang So Ra, Park Hae Jin",https://www.google.com/search?q=doctor+stranger
Angel'S Last Mission: Love,"Apple TV Free (sub), KBS World Free (sub), Prime Video Purchase (sub), Viki Free (sub), Netflix Subscription (sub)","Kim Myung Soo, Shin Hye Sun, Lee Dong Gun, Kim  Bo Mi",https://www.google.com/search?q=angel's+last+mission:+love
Doctors,"Viki Free (sub), Netflix Subscription (sub), SBS VOD Free, Apple TV Free, SBS World Free, Prime Video Subscription (sub)","Kim Rae Won, Park Shin Hye, Yoon Kyun Sang, Lee Sung Kyung",https://www.google.com/search?q=doctors
Vagabond,Netflix Subscription (sub),"Lee Seung Gi, Bae Suzy, Shin Sung Rok",https://www.google.com/search?q=vagabond
Run On,Netflix Subscription (sub),"Im Si Wan, Shin Se Kyung, Choi Soo Young, Kang Tae Oh",https://www.google.com/search?q=run+on
The Beauty Inside,"Disney+ Hotstar Subscription (sub), iflix Free, Viki Free (sub), WeTV Free (sub), Netflix Subscription (sub), Apple TV Free","Seo Hyun Jin, Lee Min Ki, Lee Da Hee, Ahn Jae Hyun",https://www.google.com/search?q=the+beauty+inside
Doom At Your Service,"TVING Subscription, Prime Video Subscription (sub), Viki Subscription (sub)","Park Bo Young, Seo In Guk, Lee Soo Hyuk, Kang Tae Oh, Shin Do Hyun",https://www.google.com/search?q=doom+at+your+service
Doctor John,"Apple TV Free, Viki Free (sub), Netflix Subscription (sub)","Ji Sung, Lee Se Young, Lee Kyu Hyung, Hwang Hee",https://www.google.com/search?q=doctor+john
Mr. Heart,"Viki Free (sub), WeTV Subscription (sub), Apple TV Subscription (sub)","Han Se Jin, Cheon Seung Ho",https://www.google.com/search?q=mr.+heart
The King'S Affection,Netflix Subscription (sub),"Park Eun Bin, Rowoon, Nam Yoon Su, Choi Byung Chan, Bae Yoon Kyung, Jung Chae Yeon",https://www.google.com/search?q=the+king's+affection
My First First Love 2,Netflix Subscription (sub),"Kim Ji Soo, Jung Chae Yeon, Jung Jin Young, Choi Ri, Kang Tae Oh, Hong Ji Yoon",https://www.google.com/search?q=my+first+first+love+2
Birth Of A Beauty,"SBS World Free, Viki Free (sub), Netflix Subscription","Joo Sang Wook, Han Ye Seul, Jung Gyu Woon, Wang Ji Hye, Han Sang Jin, Ha Jae Sook",https://www.google.com/search?q=birth+of+a+beauty
Forecasting Love And Weather,"TVING Subscription, Netflix Subscription (sub)","Park Min Young, Song Kang, Yoon Park, Yura",https://www.google.com/search?q=forecasting+love+and+weather
Miss Hammurabi,"WeTV Free (sub), Netflix Subscription (sub), Viki Free (sub)","Go Ah Ra, Kim Myung Soo, Sung Dong Il, Ryu Deok Hwan, Lee Elijah, Lee Tae Sung",https://www.google.com/search?q=miss+hammurabi
Beautiful Gong Shim,"SBS World Free, Viki Subscription, Netflix Subscription (sub)","Namkoong Min, Bang Min Ah, Ohn Joo Wan, Seo Hyo Rim",https://www.google.com/search?q=beautiful+gong+shim
The Hymn Of Death,Netflix Subscription (sub),"Lee Jong Suk, Shin Hye Sun",https://www.google.com/search?q=the+hymn+of+death
Dali And The Cocky Prince,"Prime Video Purchase, Viki Free (sub), Netflix Subscription (sub)","Park Gyu Young, Kim Min Jae, Kwon Yool, Hwang Hee, Yeonwoo",https://www.google.com/search?q=dali+and+the+cocky+prince
High Society,"SBS World Free (sub), Viki Free (sub), SBS VOD Free","Uee, Sung Joon, Park Hyung Sik, Im Ji Yeon",https://www.google.com/search?q=high+society
She Would Never Know,Netflix Subscription (sub),"Won Jin Ah, Rowoon, Lee Hyun Wook, Lee Joo Bin, Lee Kyu Han",https://www.google.com/search?q=she+would+never+know
Liar Game, ,"Lee Sang Yoon, Kim So Eun, Shin Sung Rok",https://www.google.com/search?q=liar+game
Life On Mars,K-DRAMA Free (sub),"Jung Kyung Ho, Park Sung Woong, Go Ah Sung, Oh Dae Hwan, Noh Jong Hyun",https://www.google.com/search?q=life+on+mars
A Beautiful Mind,Viki Free (sub),"Jang Hyuk, Park So Dam, Yoon Hyun Min",https://www.google.com/search?q=a+beautiful+mind
Lovers Of The Red Sky,Viki Subscription (sub),"Kim Yoo Jung, Ahn Hyo Seop, Gong Myung, Kwak Shi Yang",https://www.google.com/search?q=lovers+of+the+red+sky
High School King Of Savvy,"Apple TV Subscription, Viki Free","Seo In Guk, Lee  Ha Na, Lee Soo Hyuk, Lee Yeol Eum",https://www.google.com/search?q=high+school+king+of+savvy
Psychopath Diary,Viki Free (sub),"Yoon Shi Yoon, Jung In Sun, Park Sung Hoon",https://www.google.com/search?q=psychopath+diary
Mask,"SBS World Free (sub), Viki Free (sub)","Park Soo Ae, Joo Ji Hoon, Yoo In Young, Yeon Jung Hoon",https://www.google.com/search?q=mask
Hellbound,Netflix Subscription (sub),"Yoo Ah In, Kim Hyun Joo, Yang Ik Jun, Park Jung Min, Won Jin Ah",https://www.google.com/search?q=hellbound
Yong Pal,"Viki Free (sub), Netflix Subscription (sub), SBS VOD Free, SBS World Free","Joo Won, Kim Tae Hee, Jo Hyun Jae, Chae Jung An",https://www.google.com/search?q=yong+pal
Devilish Joy,"Prime Video Purchase (sub), Viki Free (sub), Apple TV Subscription (sub)","Choi Jin Hyuk, Song  Ha Yoon, Hoya, Lee  Joo Yeon",https://www.google.com/search?q=devilish+joy
Cruel City,Viki Free (sub),"Jung Kyung Ho, Nam Gyu Ri, Lee Jae Yoon, Son Chang Min, Kim Yoo Mi",https://www.google.com/search?q=cruel+city
"Kill Me, Heal Me","WeTV Free (sub), Netflix Subscription (sub), Apple TV Free, China Huace TV Free (sub), Viki Free (sub)","Ji Sung, Hwang Jung Eum, Park Seo Joon, Kim Yoo Ri, Oh Min Suk","https://www.google.com/search?q=kill+me,+heal+me"
My Id Is Gangnam Beauty,"Disney+ Hotstar Subscription (sub), Apple TV Free (sub), iflix Free, Viki Subscription (sub), WeTV Free (sub), Netflix Subscription (sub)","Im Soo Hyang, Cha Eun Woo, Jo Woo Ri, Kwak Dong Yeon",https://www.google.com/search?q=my+id+is+gangnam+beauty
Suspicious Partner,"WeTV Free (sub), Netflix Subscription (sub), Apple TV Free (sub), Viki Free (sub)","Ji Chang Wook, Nam Ji Hyun, Choi  Tae Joon, Kwon Na Ra",https://www.google.com/search?q=suspicious+partner
Vincenzo,"TVING Subscription, Netflix Subscription (sub)","Song Joong Ki, Jeon Yeo Been, Ok Taec Yeon",https://www.google.com/search?q=vincenzo
Her Private Life,"Apple TV Free, Prime Video Subscription (sub), Viki Free (sub), WeTV Free (sub), Netflix Subscription (sub)","Park Min Young, Kim Jae Wook",https://www.google.com/search?q=her+private+life
She Was Pretty,"Apple TV Free (sub), Viki Free (sub), WeTV Free (sub), Netflix Subscription (sub)","Hwang Jung Eum, Park Seo Joon, Go Joon Hee, Choi Si Won",https://www.google.com/search?q=she+was+pretty
